###########################################################################
# This is Table B1 from Krajnovic et al. 2020, A&A, 
# "Formation channels of slowly rotating early-type galaxies"
############################################################################
# Table Title: Metalicity and Age gradients of the ATLAS3D Sample
#
# Note: Columns (6) and (7), providing the alpha elements gradients and errors
# do not appear in the paper.
#
# Note: galaxies NGC4268 and PGC170172 do not have measured values. 
#
#Galaxy     D[Z/H]   er_D[Z/H]   DAge     er_DAge    Dalpha  er_Dalpah  HST
# (1)         (2)      (3)       (4)       (5)        (6)      (7)      (8)
############################################################################
NGC4803     -0.451     0.062     0.174     0.059     0.258     0.027     0   
NGC5103     -0.847     0.047     0.498     0.034    -0.055     0.052     0   
NGC5173     -0.312     0.078    -0.014     0.123    -0.011     0.029     1   
NGC5198     -0.273     0.030    -0.105     0.056     0.146     0.029     1   
NGC5273     -0.160     0.018     0.394     0.032    -0.094     0.039     1   
NGC5308     -0.197     0.012     0.052     0.012    -0.007     0.024     1   
NGC5322     -0.403     0.029     0.321     0.038     0.046     0.045     1   
NGC5342     -0.508     0.045    -0.015     0.055    -0.168     0.033     0   
NGC5353     -0.450     0.029     0.202     0.023     0.048     0.015     0   
NGC5355     -0.677     0.090     0.558     0.120    -0.140     0.021     0   
NGC5358     -0.616     0.087     0.432     0.073     0.030     0.019     0   
NGC5379     -0.050     0.062    -0.046     0.074    -0.087     0.040     0   
NGC5422     -0.437     0.035     0.192     0.032     0.190     0.028     1   
NGC5473     -0.521     0.026     0.367     0.027    -0.275     0.054     0   
NGC5475     -0.357     0.026     0.353     0.023    -0.029     0.020     1   
NGC5481     -0.607     0.040     0.191     0.062    -0.322     0.067     1   
NGC5485     -0.297     0.035     0.088     0.029     0.084     0.019     1   
NGC5493     -0.303     0.049    -0.028     0.067     0.055     0.036     0   
NGC5500     -0.590     0.059     0.499     0.043    -0.234     0.054     0   
NGC5507     -0.625     0.092     0.277     0.045     0.098     0.029     0   
NGC5557     -0.295     0.028     0.012     0.033    -0.007     0.019     1   
NGC5574     -0.432     0.037     0.297     0.046     0.040     0.010     0   
NGC5576     -0.529     0.037     0.495     0.063     0.036     0.032     1   
NGC5582     -0.484     0.029     0.243     0.049    -0.115     0.034     0   
NGC5611     -0.491     0.070     0.201     0.028     0.008     0.022     0   
NGC5631     -0.577     0.036     0.467     0.023     0.026     0.030     1   
NGC5638     -0.419     0.022     0.254     0.031     0.124     0.026     0   
NGC5687     -0.233     0.044    -0.457     0.109     0.182     0.021     0   
NGC5770     -0.391     0.047     0.281     0.043    -0.096     0.035     0   
NGC5813     -0.173     0.047    -0.016     0.035    -0.010     0.024     1   
NGC5831     -0.356     0.031    -0.140     0.046    -0.015     0.023     1   
NGC5838     -0.295     0.020     0.131     0.026     0.098     0.012     1   
NGC5839     -0.346     0.090     0.155     0.055     0.425     0.039     0   
NGC5845     -0.481     0.036     0.237     0.080     0.023     0.012     1   
NGC5846     -0.189     0.019     0.094     0.012     0.048     0.014     1   
NGC5854     -0.436     0.029     0.361     0.043     0.096     0.020     1   
NGC5864     -0.460     0.061     0.394     0.052     0.067     0.018     0   
NGC5866     -0.310     0.045     0.426     0.043     0.001     0.019     1   
NGC5869     -0.333     0.063     0.052     0.056    -0.091     0.025     0   
NGC6010     -0.487     0.057     0.341     0.044     0.197     0.031     0   
NGC6014     -0.237     0.073     0.094     0.074    -0.084     0.061     0   
NGC6017     -0.752     0.048     0.415     0.066     0.177     0.055     0   
NGC6149     -0.343     0.037     0.031     0.042     0.102     0.017     0   
NGC6278      0.157     0.132    -0.411     0.158    -0.062     0.053     1   
NGC6547     -0.352     0.055    -0.048     0.042    -0.046     0.040     0   
NGC6548     -0.130     0.014     0.078     0.029    -0.070     0.029     0   
NGC6703     -0.365     0.039     0.040     0.061    -0.113     0.024     1   
NGC6798     -0.463     0.055     0.185     0.085    -0.002     0.022     0   
NGC7280     -0.370     0.055     0.229     0.023     0.137     0.021     1   
NGC7332     -0.326     0.033     0.252     0.011     0.110     0.011     0   
NGC7454     -0.244     0.029     0.252     0.047    -0.053     0.026     1   
NGC7457     -0.186     0.035     0.068     0.031     0.071     0.020     1   
NGC7465     -0.518     0.109     0.552     0.117     0.268     0.058     1   
NGC7693     -0.270     0.056     0.586     0.065    -0.276     0.024     0   
NGC7710     -0.540     0.060    -0.133     0.123     0.773     0.046     0   
